Year,Month,Themes in the Picture,Climate Change Related? (Y/N),Binary,Relatad to Environment? (Y/N),Binary,Quantity (Parts Per Million),Percent
2007,4,"Migration, African History, Human-animal interaction",N,0,N,0,386.73,0.5
2007,5,"Chinese History, Archaeology",N,0,N,0,386.78,0.4
2007,6,"Landmarks, Archaeology",N,0,N,0,386.33,0.54
2007,7,"Mystery, Animal Cruelty",N,0,Y,1,384.73,0.54
2007,8,"Iranian History, Archaeology",N,0,N,0,382.24,0.43
2007,9,"Food, Agriculture, Biology",N,0,Y,1,381.2,0.57
2007,10,"Archaelogy, prehistoric",N,0,N,0,381.37,0.54
2007,11,Night,N,0,N,0,382.7,0.62
2007,12,"Archaeology, Historical Sites",N,0,N,0,384.19,0.57
2006,1,Natural view,N,0,N,0,381.58,0.78
2006,2,"Human portrait, relationship, biology, chemistry",N,0,N,0,382.4,0.66
2006,3,"Human, text, biology",N,0,N,0,382.86,0.5
2006,4,"Natural disaster, history",N,0,N,0,384.8,0.61
2006,5,"Polar bear, animal",Y,1,Y,1,385.22,0.67
2006,6,"Sports, soccer, human",N,0,N,0,384.24,0.48
2006,7,"Panda, animal",N,0,N,0,382.65,0.45
2006,8,"Natural disatser, hurrianes",N,0,N,0,380.6,0.44
2006,9,"statue, international relationship",N,0,N,0,379.04,0.57
2006,10,"Natural view, world park",N,0,Y,1,379.33,0.57
2006,11,"Archaeology, biology",N,0,N,0,380.35,0.48
2006,12,"Solar system, space, universe",N,0,N,0,382.02,0.45
2005,1,Bevarage,N,0,N,0,378.63,0.39
2005,2,"Animals, Nature",N,0,Y,1,379.91,0.49
2005,3,"Psychology, Neuroscience",N,0,N,0,380.95,0.5
2005,4,Prehistoric humans,N,0,N,0,382.48,0.51
2005,5,"Toxicology, chemistry",N,0,N,0,382.64,0.48
2005,6,"Archaeology, Egyptian History, Historical figures",N,0,N,0,382.4,0.67
2005,7,"Biology, Medical advancement",N,0,N,0,380.93,0.87
2005,8,"Natural Resources, Energy Consumption",Y,1,Y,1,378.93,0.73
2005,9,Geography,N,0,N,0,376.89,0.66
2005,10,"Disease, Epidemic, Biohazard",N,0,N,0,377.19,0.68
2005,11,"Longetivity, Fitness",N,0,N,0,378.54,0.59
2005,12,"Extinct animals, Biology",N,0,Y,1,380.31,0.7
2004,1,"Mars, astronomy",N,0,N,0,377.17,0.56
2004,2,polar bears,Y,1,Y,1,378.05,0.59
2004,3,seal,N,0,Y,1,379.06,0.64
2004,4,tornadoes,N,0,N,0,380.54,0.69
2004,5,children and dogs,N,0,N,0,380.8,0.53
2004,6,cheap oil,N,0,N,0,379.87,0.37
2004,7,"sun bursts, astronomy",N,0,N,0,377.65,0.2
2004,8,"fat, health",N,0,N,0,376.17,0.43
2004,9,global warming,Y,1,N,0,374.43,0.29
2004,10,hawaiian volcanoes,N,0,N,0,374.63,0.35
2004,11,"chamelons, evolutino",N,0,N,0,376.33,0.4
2004,12,"astronomy, universe",N,0,N,0,377.68,0.4
2003,1,Egypt,N,0,N,0,375.07,0.64
2003,2,Galaxy,N,0,N,0,375.82,0.66
2003,3,dinonaurs,N,0,N,0,376.64,0.63
2003,4,mammals/human,N,0,N,0,377.92,0.73
2003,5,human headshot/everest,N,0,N,0,378.78,0.76
2003,6,siberian gold,N,0,N,0,378.46,0.74
2003,7,"soldier headshot, korean",N,0,N,0,376.88,0.73
2003,8,"amazon, tribal person headshot",N,0,N,0,374.57,0.68
2003,9,zebra,N,0,Y,1,373.34,0.65
2003,10,saudi arabia person ,N,0,N,0,373.31,0.7
2003,11,"archaeology, sun god's trasure",N,0,N,0,374.84,0.65
2003,12,aircraft,N,0,N,0,376.17,0.59
2002,1,wolf and dog,N,0,N,0,372.7,0.52
2002,2,volcanos,N,0,N,0,373.37,0.45
2002,3,diamonds,N,0,Y,1,374.3,0.45
2002,4,Afghan refugee,N,0,N,0,375.19,0.44
2002,5,mummies,N,0,N,0,375.93,0.51
2002,6,D-Day,N,0,N,0,375.69,0.61
2002,7,eagle,N,0,Y,1,374.16,0.67
2002,8,human origination,N,0,N,0,372.03,0.61
2002,9,meerkats,N,0,Y,1,370.92,0.7
2002,10,nile river,N,0,N,0,370.73,0.58
2002,11,skin,N,0,N,0,372.43,0.67
2002,12,owls,N,0,N,0,373.98,0.69
2001,1,"space, astronaut",N,0,N,0,370.76,0.35
2001,2,insects,N,0,N,0,371.69,0.54
2001,3,gorilla,N,0,Y,1,372.63,0.51
2001,4,"pharaoh, cutlure",N,0,N,0,373.55,0.42
2001,5,"Marco polo, culture",N,0,N,0,374.03,0.61
2001,6,Last Lion in Asia,N,0,Y,1,373.4,0.41
2001,7,grizzly,N,0,Y,1,371.68,0.45
2001,8,human ,N,0,Y,1,369.78,0.41
2001,9,egypt,N,0,N,0,368.34,0.32
2001,10,leopard,N,0,Y,1,368.61,0.39
2001,11,russia,N,0,N,0,369.94,0.38
2001,12,art and religion,N,0,N,0,371.42,0.43
2000,1,space and universe,N,0,N,0,369.45,0.3
2000,2,orphan gorillas,N,0,Y,1,369.71,0.12
2000,3,"bird, national park",N,0,Y,1,370.75,0.25
2000,4,"Shark, research, exploration",N,0,N,0,371.98,0.22
2000,5,"Vikings, history",N,0,N,0,371.75,0.17
2000,6,"Ancient Civilization, goose",N,0,N,0,371.87,0.38
2000,7,archaeology,N,0,N,0,370.02,0.11
2000,8,"Sydney, Olympics",N,0,N,0,368.27,0.33
2000,9,"Human head shot, culture, humanities",N,0,N,0,367.15,0.6
2000,10,"Frog, wilderness",N,0,Y,1,367.18,0.45
2000,11,"Libya, art, history ",N,0,N,0,368.53,0.45
2000,12,Polar bear,N,0,Y,1,369.83,0.43
1999,1,"Coral, animal",N,0,Y,1,368.35,0.81
1999,2,"Insects, biodiversity",N,0,Y,1,369.28,0.87
1999,3,"Natural disaster, hurricane",N,0,N,0,369.84,0.68
1999,4,"War, history",N,0,N,0,371.15,0.64
1999,5,Animal,N,0,N,0,371.12,0.42
1999,6,"Human portrait, culture",N,0,N,0,370.46,0.36
1999,7,"Human portrait, culture",N,0,N,0,369.61,0.44
1999,8,"Human portrait, culture",N,0,N,0,367.06,0.26
1999,9,"Adventure, human exploration",N,0,N,0,364.95,0.22
1999,10,"Human, animal, pig, biology",N,0,N,0,365.52,0.27
1999,11,"cultural relics, history",N,0,N,0,366.88,0.33
1999,12,"Animal, cheetahs",N,0,N,0,368.26,0.26
1998,1,"Dessert, Millenium",N,0,N,0,365.39,0.59
1998,2,"Exploration, Tundra, ",N,0,Y,1,366.1,0.52
1998,3,Insects,N,0,Y,1,367.36,0.74
1998,4,"Animals, Nature, Endagered Species",N,0,Y,1,368.79,0.63
1998,5,"Children, Despair",Y,1,Y,1,369.56,0.76
1998,6,"Railroad, Humans",N,0,N,0,369.13,0.93
1998,7,"Biology, Paleontology, Prehistoric Creatures",N,0,Y,1,367.98,0.97
1998,8,"Space Exploration, Planets , NASA",N,0,N,0,366.1,1.02
1998,9,"Egyptian History, Statues",N,0,N,0,364.16,1.03
1998,10,"Population, Children",N,0,N,0,364.54,0.99
1998,11,"Ocean, Surf",N,0,Y,1,365.67,0.83
1998,12,"Archaeology, Historical Sites, Natural Landscape",N,0,Y,1,367.3,0.77
1997,1,"Ocean, Sea animals, Deep Sea Creatures",N,0,Y,1,363.24,0.29
1997,2,Animal,N,0,Y,1,364.21,0.23
1997,3,Sea animals,N,0,Y,1,364.65,0.1
1997,4,"Space Exploration, Space Images, NASA",N,0,N,0,366.48,0.49
1997,5,"Country, Ethnicity, Anniversary",N,0,N,0,366.77,0.42
1997,6,"Ethnicity, Race, Female",N,0,N,0,365.73,0.18
1997,7,Technological advancement,N,0,N,0,364.46,0.21
1997,8,Country,N,0,Y,1,362.4,0.24
1997,9,"Canyon, Eploration, Human, Natural Landscape, Country",N,0,Y,1,360.44,0.21
1997,10,"Country, Children",N,0,N,0,360.98,0.35
1997,11,"Animals, Ponds, Algae",N,0,Y,1,362.65,0.45
1997,12,"Animals, Parent-Child",N,0,Y,1,364.51,0.59
1996,1,"archaeology, history, biology",N,0,N,0,362.2,0.6
1996,2,"Human exploration, glacier, adventure",N,0,N,0,363.36,0.65
1996,3,"Penguins, animal",N,0,N,0,364.28,0.64
1996,4,"Human exploration, adventure",N,0,N,0,364.69,0.34
1996,5,"archaeology, dinosaur",N,0,N,0,365.25,0.39
1996,6,"Human portrait, culture",N,0,N,0,365.06,0.48
1996,7,"Animal, cheetahs, natural parks",N,0,Y,1,363.69,0.53
1996,8,"Culture, history",N,0,N,0,361.55,0.62
1996,9,Natural view,N,0,N,0,359.69,0.38
1996,10,"Human portrait, culture, treasure",N,0,N,0,359.72,0.44
1996,11,"Space, universe",N,0,N,0,361.04,0.4
1996,12,"Art, history",N,0,N,0,362.39,0.44
1995,1,"Sharks, animal",N,0,N,0,360.04,0.47
1995,2,"Art, history",N,0,N,0,361,0.55
1995,3,"Trapped animal, endanger animals",N,0,Y,1,361.98,0.52
1995,4,"Human portrait, fashion, culture",N,0,N,0,363.44,0.58
1995,5,"Architecutre, landscape",N,0,N,0,363.83,0.57
1995,6,"Brain, biology, science",N,0,N,0,363.33,0.66
1995,7,"Elephant, natural resources",N,0,Y,1,361.78,0.63
1995,8,Human portrait,N,0,N,0,359.33,0.49
1995,9,"Birds, vanihing species",N,0,Y,1,358.32,0.69
1995,10,"Gorillars, endangered animal",N,0,Y,1,358.14,0.54
1995,11,"Fishing, exploiting ocean",N,0,Y,1,359.61,0.55
1995,12,"Human, animal",N,0,N,0,360.82,0.48
1994,1,bird,N,0,N,0,358.36,0.35
1994,2,"Sea turtles, animal, endangered animal",N,0,Y,1,359.04,0.45
1994,3,"City life, culture, human",N,0,N,0,360.11,0.42
1994,4,"animals, endangered",N,0,Y,1,361.36,0.55
1994,5,"Human portrait, culture",N,0,N,0,361.78,0.41
1994,6,"Human portrait, parent and child, culture",N,0,N,0,360.94,0.36
1994,7,"recycling, old clothes",N,0,Y,1,359.51,0.57
1994,8,"animal, lion",N,0,N,0,357.59,0.51
1994,9,"animal, culture, human portrait",N,0,N,0,355.86,0.49
1994,10,"Natural view, national parks",N,0,N,0,356.21,0.56
1994,11,"Animal, buffalo",N,0,N,0,357.65,0.6
1994,12,"Monkey, animal",N,0,N,0,359.1,0.58
1993,1,"Prehistoric creatures, Paleontology",N,0,Y,1,357.1,0.21
1993,2,"Endangered Species, Wild animals, Newborns",N,0,Y,1,357.42,0.06
1993,3,"Country, Politics, Political Leaders",N,0,N,0,358.59,0.17
1993,4,"Parent-Child, Military",N,0,N,0,359.39,0.05
1993,5,"Water Supply, Lack of Resources, Geography",N,0,Y,1,360.3,0.16
1993,6,Bodies of Water,N,0,Y,1,359.64,0.06
1993,7,"Lighting, Nature",N,0,Y,1,357.46,0.09
1993,8,"Continent, Human, Despair, Natural Landscape",N,0,N,0,355.76,0.22
1993,9,"Ethnicity, Country, Animals, Children",N,0,Y,1,354.14,0.32
1993,10,Children,N,0,N,0,354.23,0.23
1993,11,"Bodies of Water, Sea animals, nature",N,0,Y,1,355.53,0.31
1993,12,"Glass, Drink",N,0,n,0,357.03,0.38
1992,1,"Sailing, Bodies of Water, Exploration",N,0,Y,1,356.34,0.4
1992,2,"Wildlife, Animals",N,0,Y,1,357.21,0.39
1992,3,"Animals, Human, Biology",N,0,Y,1,357.97,0.18
1992,4,"Sea animals, humans",N,0,Y,1,359.22,0.13
1992,5,"Animals, Country",N,0,Y,1,359.71,0.13
1992,6,"Bodies of Water, Humans",N,0,Y,1,359.44,0.34
1992,7,"Animals, Parent-Child",N,0,Y,1,357.15,0.24
1992,8,"Ethnicity, Senior Citizens, Despair",N,0,N,0,354.99,0.29
1992,9,"Sea animals, Ocean, Endangered Species",N,0,Y,1,353.01,0.19
1992,10,"Environmental Science, Natural Habitats ",N,0,Y,1,353.41,0.28
1992,11,"Optomalogy, Sight",N,0,N,0,354.42,0.15
1992,12,"Volcanic Activity, Geology",N,0,Y,1,355.68,0.13
1991,1,"Human portrait, family, culture",N,0,N,0,354.93,0.3
1991,2,"Child, cage, culture",N,0,N,0,355.82,0.2
1991,3,"Natural view, human exploration",N,0,N,0,357.33,0.44
1991,4,"Sport, human portrait",N,0,N,0,358.77,0.67
1991,5,"Elephant, animal",N,0,Y,1,359.23,0.52
1991,6,"Human portrait, suffer",N,0,N,0,358.23,0.52
1991,7,"art, history",N,0,N,0,356.3,0.4
1991,8,Natural disaster,N,0,N,0,353.97,0.26
1991,9,"Animal, illegal wildlife trade",N,0,Y,1,352.34,0.27
1991,10,"Art, history",N,0,N,0,352.43,0.21
1991,11,"Human portrait, culture",N,0,N,0,353.89,0.21
1991,12,"Human portrait, culture, social issue",N,0,N,0,355.21,0.23
1990,1,Alaska oil spill; bird in oil,N,0,Y,1,353.86,0.22
1990,2,A Soviet Sea dying,N,0,Y,1,355.1,0.47
1990,3,siberia; landscape,N,0,N,0,355.75,0.47
1990,4,gorilla; animal,N,0,Y,1,356.38,0.19
1990,5,people; east harlem,N,0,N,0,357.38,0.4
1990,6,dancers? Austin,N,0,N,0,356.39,0.27
1990,7,cane; animal,N,0,Y,1,354.89,0.24
1990,8,yugoslavakia,N,0,N,0,353.06,0.35
1990,9,children; manila,N,0,N,0,351.38,0.37
1990,10,a fuji water creature,Y,1,Y,1,351.69,0.39
1990,11,the baltic nations; people and statue,N,0,N,0,353.14,0.45
1990,12,bostwana; animal,N,0,Y,1,354.41,0.43
1989,1,"Human, animal",N,0,N,0,353.07,0.73
1989,2,"Natural disaster, animal",N,0,N,0,353.43,0.49
1989,3,Human protrait,N,0,N,0,354.08,0.45
1989,4,"Animal, endangered animal",N,0,Y,1,355.72,0.58
1989,5,"Dancing, human activity",N,0,N,0,355.95,0.45
1989,6,"Dinosaur, history",N,0,N,0,355.44,0.44
1989,7,"Architecture, culture, history",N,0,N,0,354.05,0.35
1989,8,"Elephant, animals",N,0,N,0,351.84,0.39
1989,9,"Human portrait, culture, history",N,0,N,0,350.09,0.32
1989,10,"Human portrait, culture",N,0,N,0,350.33,0.27
1989,11,"Human portrait, culture",N,0,N,0,351.55,0.32
1989,12,Art,N,0,N,0,352.91,0.37
1988,1,"Scientific advancement, Animals, Nature, Knowledge accumulation",N,0,Y,1,350.51,0.51
1988,2,"Country, Parent - Child",N,0,N,0,351.7,0.8
1988,3,"Exploration, Tundra, Ocean ",N,0,Y,1,352.5,0.77
1988,4,"Exploration, Ocean, Deep Sea",N,0,Y,1,353.67,0.65
1988,5,"Human Figure, Resources, Invention",N,0,N,0,354.35,0.62
1988,6,"Country, Politics, Parent-Child",N,0,N,0,353.88,0.65
1988,7,"Despair, Death, Genocide",N,0,N,0,352.8,0.74
1988,8,"Animals, Endangered Species, Wildlife",N,0,Y,1,350.49,0.66
1988,9,"Anniversary, Recap",N,0,Y,1,348.97,0.67
1988,10,"History, Archaeology, Human sculpture ",N,0,N,0,349.37,0.76
1988,11,"Human Exploration, Nature",N,0,Y,1,350.42,0.67
1988,12,"Earth, Planet, Environmental Conservation",Y,1,Y,1,351.62,0.67
1987,1,"Technology, biology, medicine",N,0,N,0,348.73,0.56
1987,2,"Human portrait, culture",N,0,N,0,348.92,0.41
1987,3,"Plants, sun flowers, plane",N,0,N,0,349.81,0.45
1987,4,"Seals, ocean, animal",N,0,N,0,351.4,0.44
1987,5,"Arctic wolf, animal",N,0,N,0,352.15,0.47
1987,6,"Natural view, human exploration",N,0,N,0,351.58,0.46
1987,7,"Human portrait, food, health",N,0,N,0,350.21,0.56
1987,8,"Human portrait, child, culture",N,0,N,0,348.2,0.59
1987,9,Cultural relics,N,0,N,0,346.66,0.34
1987,10,"Human portrait, social issue, culture",N,0,N,0,346.72,0.55
1987,11,"Human portrait, child",N,0,N,0,348.08,0.54
